robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot2,0.7749999999999999,2.345,1.96,84.26,35.98
robot1,0.7749999999999999,2.5700000000000003,1.59,94.32,45.72
robot2,0.7749999999999999,2.5700000000000003,1.89,84.82,36.08
robot1,0.7749999999999999,2.795,1.58,95.63,46.23
robot2,0.7749999999999999,2.795,1.58,84.38,36.41
robot1,0.7749999999999999,3.02,1.58,93.95,44.62
robot2,0.7749999999999999,3.02,1.86,86.92,35.04
robot1,0.7749999999999999,3.245,1.56,93.95,47.47
robot2,0.7749999999999999,3.245,1.84,87.59,37.72
robot1,0.7749999999999999,3.47,1.57,91.83,48.43
robot2,0.7749999999999999,3.47,1.59,89.16,38.54
robot1,0.7749999999999999,3.695,1.54,93.3,48.59
robot2,0.7749999999999999,3.695,1.9,80.23,38.65
robot1,0.7749999999999999,3.92,1.53,92.06,49.34
robot2,0.7749999999999999,3.92,1.56,83.33,39.35
robot1,1.0,2.12,1.57,94.4,41.99
robot2,1.0,2.12,1.8,88.08,32.39
robot1,1.0,2.345,1.57,95.01,43.03
robot2,1.0,2.345,1.8,86.73,33.28
robot1,1.0,2.5700000000000003,1.57,94.49,45.33
robot2,1.0,2.5700000000000003,1.63,90.38,35.82
robot1,1.0,2.795,1.56,94.23,43.27
robot2,1.0,2.795,1.8,89.74,33.26
robot1,1.0,3.02,1.56,92.69,45.92
robot2,1.0,3.02,1.57,89.52,36.2
robot1,1.0,3.245,1.57,93.64,46.31
robot2,1.0,3.245,2.0,82.3,36.62
robot1,1.0,3.47,1.56,93.38,44.42
robot2,1.0,3.47,1.81,86.08,34.45
robot1,1.0,3.695,1.55,91.83,48.16
robot2,1.0,3.695,1.57,83.75,38.22
robot1,1.0,3.92,1.54,91.67,46.29
robot2,1.0,3.92,1.58,92.07,36.24
robot1,1.225,2.12,1.58,95.36,43.35
robot2,1.225,2.12,1.98,86.38,42.87
robot1,1.225,2.345,1.57,96.59,45.11
robot2,1.225,2.345,2.07,83.06,35.62
robot1,1.225,2.5700000000000003,1.56,95.01,42.73
robot2,1.225,2.5700000000000003,1.88,88.31,33.14
robot1,1.225,2.795,1.58,95.82,46.28
robot2,1.225,2.795,1.96,87.34,36.48
robot1,1.225,3.02,1.59,96.16,46.37
robot2,1.225,3.02,1.94,86.21,36.43
robot1,1.225,3.245,1.56,95.36,46.26
robot2,1.225,3.245,1.92,82.76,36.25
robot1,1.225,3.47,1.56,95.34,46.79
robot2,1.225,3.47,1.94,83.9,36.87
robot1,1.225,3.695,1.55,94.13,46.61
robot2,1.225,3.695,1.96,82.41,36.87
robot1,1.225,3.92,1.56,93.67,44.65
robot2,1.225,3.92,1.85,86.59,34.66
robot1,1.45,2.12,1.59,96.08,43.55
robot2,1.45,2.12,1.65,92.79,34.16
robot1,1.45,2.345,1.6,96.68,44.27
robot2,1.45,2.345,2.24,76.19,34.63
robot1,1.45,2.5700000000000003,,,
robot2,1.45,2.5700000000000003,2.67,56.9,15.0
robot1,1.45,2.795,,,
robot2,1.45,2.795,1.82,73.08,15.0
robot1,1.45,3.02,1.57,94.79,45.54
robot2,1.45,3.02,1.98,84.48,35.89
robot1,1.45,3.245,1.57,95.6,46.2
robot2,1.45,3.245,2.05,79.82,36.56
robot1,1.45,3.47,1.56,94.34,45.79
robot2,1.45,3.47,1.91,83.33,35.99
